Category: All categories

Week,Demi Lovato: (United States)
2018-01-07,3
2018-01-14,3
2018-01-21,2
2018-01-28,2
2018-02-04,2
2018-02-11,2
2018-02-18,2
2018-02-25,3
2018-03-04,3
2018-03-11,3
2018-03-18,3
2018-03-25,2
2018-04-01,3
2018-04-08,2
2018-04-15,2
2018-04-22,2
2018-04-29,2
2018-05-06,2
2018-05-13,2
2018-05-20,2
2018-05-27,2
2018-06-03,2
2018-06-10,1
2018-06-17,4
2018-06-24,3
2018-07-01,2
2018-07-08,2
2018-07-15,3
2018-07-22,100
2018-07-29,26
2018-08-05,8
2018-08-12,4
2018-08-19,3
2018-08-26,3
2018-09-02,3
2018-09-09,2
2018-09-16,2
2018-09-23,2
2018-09-30,1
2018-10-07,1
2018-10-14,1
2018-10-21,1
2018-10-28,1
2018-11-04,2
2018-11-11,2
2018-11-18,2
2018-11-25,1
2018-12-02,1
2018-12-09,2
2018-12-16,1
2018-12-23,1
2018-12-30,1
