Category: All categories

Week,Kate Spade: (United States)
2018-01-07,2
2018-01-14,2
2018-01-21,2
2018-01-28,2
2018-02-04,2
2018-02-11,2
2018-02-18,2
2018-02-25,2
2018-03-04,2
2018-03-11,2
2018-03-18,2
2018-03-25,2
2018-04-01,2
2018-04-08,2
2018-04-15,2
2018-04-22,2
2018-04-29,2
2018-05-06,2
2018-05-13,2
2018-05-20,2
2018-05-27,2
2018-06-03,100
2018-06-10,9
2018-06-17,5
2018-06-24,3
2018-07-01,2
2018-07-08,2
2018-07-15,2
2018-07-22,2
2018-07-29,2
2018-08-05,2
2018-08-12,2
2018-08-19,2
2018-08-26,2
2018-09-02,2
2018-09-09,2
2018-09-16,2
2018-09-23,1
2018-09-30,1
2018-10-07,1
2018-10-14,1
2018-10-21,1
2018-10-28,1
2018-11-04,2
2018-11-11,2
2018-11-18,4
2018-11-25,3
2018-12-02,2
2018-12-09,3
2018-12-16,3
2018-12-23,3
2018-12-30,2
